input mask	input pattern	input example	output mask	output pattern	output example	test	
[ca. #### - ####]	[ca. JJJJ - ZZZZ]	[ca. 1200 - 1250]	ca. ####/####	ca. JJJJ/ZZZZ	ca. 1200/1250	ca. 1200/1250	
[ca. ####-####]	[ca. JJJJ-ZZZZ]	[ca. 1970-1985]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1970/ca. 1985	ca. 1970/ca. 1985	
[ca. ####-##]	[ca. JJJJ-ZZ]	[ca. 1492-96]	ca. ####/ca. ####	ca. JJJJ/ca. JJZZ	ca. 1492/ca. 1496	ca. 1492/ca. 1496	
[ca. ####/####]	[ca. JJJJ/ZZZZ]	[ca. 1498/1500]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1498/ca. 1500	ca. 1498/ca. 1500	
[ca. ####/##]	[ca. JJJJ/ZZ]	[ca. 1481/87]	ca. ####/ca. ####	ca. JJJJ/ca. JJZZ	ca. 1481/ca. 1487	ca. 1481/ca. 1487	
[ca. ####?]	[ca. JJJJ?]	[ca. 1500?]	ca. ####	ca. JJJJ	ca. 1500	ca. 1500	
[ca. ####]	[ca. JJJJ]	[ca. 1965]	ca. ####	ca. JJJJ	ca. 1965	ca. 1965	
[ca.####]	[ca.JJJJ]	[ca.1850]	ca. ####	ca. JJJJ	ca. 1850	ca. 1850	
[circa ####]	[circa JJJJ]	[circa 1533]	ca. ####	ca. JJJJ	ca. 1533	ca. 1533	
[ersch. ####]	[ersch. JJJJ]	[ersch. 1720]	####	JJJJ	1720	1720	
[i.e. ####?]	[i.e. JJJJ?]	[i.e. 1767?]	vermutlich ####	vermutlich JJJJ	vermutlich 1767	vermutlich 1767	
[i.e.####]	[i.e.JJJJ]	[i.e.1625]	####	JJJJ	1625	1625	
[MM ####]	[MM JJJJ]	[Dez. 1503]	####-##	JJJJ-MM	1503-12	1503-12	
[nach ####.##.##.]	[nach JJJJ.MM.TT.]	[nach 1491.03.02.]	nach ####-##-##	nach JJJJ-MM-TT	nach 1491-03-02	nach 1491-03-02	
[nach ####.##.##]	[nach JJJJ.MM.TT]	[nach 1496.02.24]	nach ####-##-##	nach JJJJ-MM-TT	nach 1496-02-24	nach 1496-02-24	
[nach ####?]	[nach JJJJ?]	[nach 1500?]	nach ####	nach JJJJ	nach 1500	nach 1500	
[nach ####]	[nach JJJJ]	[nach 1472]	nach ####	nach JJJJ	nach 1472	nach 1472	
[nach ##. MM ####]	[nach TT. MM JJJJ]	[nach 23. Mai 1498]	nach ####-##-##	nach JJJJ-MM-TT	nach 1498-05-23	nach 1498-05-23	
[nach #. MM ####]	[nach T. MM JJJJ]	[nach 8. Mai 1497]	nach ####-##-0#	nach JJJJ-MM-0T	nach 1497-05-08	nach 1497-05-08	
[nicht nach ####.##.##.]	[nicht nach JJJJ.MM.TT.]	[nicht nach 1476.06.15.]	vor ####-##-##	vor JJJJ-MM-TT	vor 1476-06-15	vor 1476-06-15	
[nicht nach ####]	[nicht nach JJJJ]	[nicht nach 1474]	vor ####	vor JJJJ	vor 1474	vor 1474	
[nicht vor ####.##.##.]	[nicht vor JJJJ.MM.TT.]	[nicht vor 1499.03.28.]	nach ####-##-##	nach JJJJ-MM-TT	nach 1499-03-28	nach 1499-03-28	
[nicht vor ####.##.##]	[nicht vor JJJJ.MM.TT]	[nicht vor 1499.12.22]	nach ####-##-##	nach JJJJ-MM-TT	nach 1499-12-22	nach 1499-12-22	
[nicht vor ####.##.]	[nicht vor JJJJ.MM.]	[nicht vor 1492.05.]	nach ####-##	nach JJJJ-MM	nach 1492-05	nach 1492-05	
[nicht vor ####]	[nicht vor JJJJ]	[nicht vor 1777]	nach ####	nach JJJJ	nach 1777	nach 1777	
[um #### - ####]	[um JJJJ - ZZZZ]	[um 1710 - 1729]	um ####/####	um JJJJ/ZZZZ	um 1710/1729	um 1710/1729	
[um #### - um ####]	[um JJJJ - um ZZZZ]	[um 1675 - um 1750]	um ####/####	um JJJJ/ZZZZ	um 1675/1750	um 1675/1750	
[um ####/##]	[um JJJJ/ZZ]	[um 1460/65]	um ####,um ####	um JJJJ,um JJZZ	um 1460,um 1465	um 1460,um 1465	
[um ####?]	[um JJJJ?]	[um 1470?]	vermutlich ####	vermutlich JJJJ	vermutlich 1470	vermutlich 1470	
[um ####]	[um JJJJ]	[um 1350]	um ####	um JJJJ	um 1350	um 1350	
[um ####]	[um JJJJ]	[um 1550]	um ####	um JJJJ	um 1550	um 1550	
[vor ####.##.##.]	[vor JJJJ.MM.TT.]	[vor 1473.06.05.]	vor ####-##-##	vor JJJJ-MM-TT	vor 1473-06-05	vor 1473-06-05	
[vor ####]	[vor JJJJ]	[vor 1900]	vor ####	vor JJJJ	vor 1900	vor 1900	
an VII [i.e.####/##]	an VII [i.e.JJJJ/ZZ]	an VII [i.e.1797/98]	####,####	JJJJ,JJZZ	1797,1798	1797,1798	
Anfang ##. Jh.	Anfang JJ. Jh.	Anfang 17. Jh.	Anfang ##. Jahrhundert	Anfang JJ. Jahrhundert	Anfang 17. Jahrhundert	Anfang 17. Jahrhundert	
Anfang #. Jh.	Anfang J. Jh.	Anfang 9. Jh.	Anfang #. Jahrhundert	Anfang J. Jahrhundert	Anfang 9. Jahrhundert	Anfang 9. Jahrhundert	
c ####	c JJJJ	c 1898	ca. ####	ca. JJJJ	ca. 1898	ca. 1898	
c. ####	c. JJJJ	c. 1860	ca. ####	ca. JJJJ	ca. 1860	ca. 1860	
circa ####	circa JJJJ	circa 1865	ca. ####	ca. JJJJ	ca. 1865	ca. 1865	
Ende ##. Jh.	Ende JJ. Jh.	Ende 14. Jh.	Ende ##. Jahrhundert	Ende JJ. Jahrhundert	Ende 14. Jahrhundert	Ende 14. Jahrhundert	
Ende ##. Jh./Anfang ##. Jh.	Ende JJ. Jh./Anfang ZZ. Jh.	Ende 15. Jh./Anfang 16. Jh.	Ende ##. Jahrhundert,Anfang ##. Jahrhundert	Ende JJ. Jahrhundert,Anfang ZZ. Jahrhundert	Ende 15. Jahrhundert,Anfang 16. Jahrhundert	Ende 15. Jahrhundert,Anfang 16. Jahrhundert	
frühes ##. Jahrhundert	frühes JJ. Jahrhundert	frühes 20. Jahrhundert	Anfang ##. Jahrhundert	Anfang JJ. Jahrhundert	Anfang 20. Jahrhundert	Anfang 20. Jahrhundert	
Geistesgeschichte ####-####	Geistesgeschichte JJJJ-ZZZZ	Geistesgeschichte 1400-1600	####/####	JJJJ/ZZZZ	1400/1600	1400/1600	
Geschichte ### v. Chr.-###	Geschichte JJJ v. Chr.-ZZZ	Geschichte 800 v. Chr.-500	-0###/0###	-0JJJ/0ZZZ	-0800/0500	-0800/0500	
Geschichte ### v. Chr.-### v. Chr.	Geschichte JJJ v. Chr.-ZZZ v. Chr.	Geschichte 700 v. Chr.-400 v. Chr.	-0###/-0###	-0JJJ/-0ZZZ	-0700/-0400	-0700/-0400	
Geschichte ####	Geschichte JJJJ	Geschichte 1555	####	JJJJ	1555	1555	
Geschichte ####	Geschichte JJJJ	Geschichte 1848	####	JJJJ	1848	1848	
Geschichte ####-	Geschichte JJJJ-	Geschichte 1945-	ab ####	ab JJJJ	ab 1945	ab 1945	
Geschichte -####	Geschichte -JJJJ	Geschichte -1622	bis ####	bis JJJJ	bis 1622	bis 1622	
Geschichte #### - ####	Geschichte JJJJ - ZZZZ	Geschichte 1939 - 1945	####/####	JJJJ/ZZZZ	1939/1945	1939/1945	
Geschichte #### v.Chr.-####	Geschichte JJJJ v.Chr.-ZZZZ	Geschichte 0100 v.Chr.-1300	-####/####	-JJJJ/ZZZZ	-0100/1300	-0100/1300	
Geschichte ###-###	Geschichte JJJ-ZZZ	Geschichte 500-900	0###/0###	0JJJ/0ZZZ	0500/0900	0500/0900	
Geschichte ###-####	Geschichte JJJ-ZZZZ	Geschichte 500-1500	0###/####	0JJJ/ZZZZ	0500/1500	0500/1500	
Geschichte ####-####	Geschichte JJJJ-ZZZZ	Geschichte 1806-1918	####/####	JJJJ/ZZZZ	1806/1918	1806/1918	
Geschichte Anfänge-####	Geschichte Anfänge-JJJJ	Geschichte Anfänge-1919	bis ####	bis JJJJ	bis 1919	bis 1919	
Geschichte Anfänge-####	Geschichte Anfänge-JJJJ	Geschichte Anfänge-1500	bis ####	bis JJJJ	bis 1500	bis 1500	
GG, ##. MM ####	GG, TT. MM JJJJ	Sonntag, 17. Juni 2012	####-##-##	JJJJ-MM-TT	2012-06-17	2012-06-17	
GG, ##.##.####	GG, TT.MM.JJJJ	Sonntag, 17.06.2012	####-##-##	JJJJ-MM-TT	2012-06-17	2012-06-17	
Karolingisch	Karolingisch	Karolingisch	0750/0911	0750/0911	0750/0911	0750/0911	
Klassizistisch	Klassizistisch	Klassizistisch	1770/1830	1770/1830	1770/1830	1770/1830	
Mitte ##. Jh.	Mitte JJ. Jh.	Mitte 19. Jh.	Mitte ##. Jahrhundert	Mitte JJ. Jahrhundert	Mitte 19. Jahrhundert	Mitte 19. Jahrhundert	
MM – MM ####	MM – YY JJJJ	März – Dez. 1949	####-##/####-##	JJJJ-MM/JJJJ-YY	1949-03/1949-12	1949-03/1949-12	
MM ####	MM JJJJ	Sept. 1871	####-##	JJJJ-MM	1871-09	1871-09	
MM #### – MM ####	MM JJJJ – YY ZZZZ	Sept. 1946 – Jan. 1947	####-##/####-##	JJJJ-MM/ZZZZ-YY	1946-09/1947-01	1946-09/1947-01	
Nachgewiesen #### -	Nachgewiesen JJJJ -	Nachgewiesen 2003 -	ab ####	ab JJJJ	ab 2003	ab 2003	
Nachgewiesen ####(####) -	Nachgewiesen JJJJ(ZZZZ) -	Nachgewiesen 2010(2009) -	ab ####	ab JJJJ	ab 2010	ab 2010	
Nachgewiesen ##.#### -	Nachgewiesen NN.JJJJ -	Nachgewiesen 32.2001 -	ab ####	ab JJJJ	ab 2001	ab 2001	
Nachgewiesen #.#### -	Nachgewiesen N.JJJJ -	Nachgewiesen 6.2001 -	ab ####	ab JJJJ	ab 2001	ab 2001	
Nr. #.#### -	Nr. N.JJJJ -	Nr. 1.2011 -	ab ####	ab JJJJ	ab 2011	ab 2011	
Ottonisch	Ottonisch	Ottonisch	0936/1024	0936/1024	0936/1024	0936/1024	
Römisch	Römisch	Römisch	-500/395	-500/395	-500/395	-500/395	
s.a. [####]	s.a. [JJJJ]	s.a. [1868]	####	JJJJ	1868	1868	
s.a. [ca. ####-####]	s.a. [ca. JJJJ-ZZZZ]	s.a. [ca. 1830-1840]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1830/ca. 1840	ca. 1830/ca. 1840	
s.a. [ca. ####]	s.a. [ca. JJJJ]	s.a. [ca. 1860]	ca. ####	ca. JJJJ	ca. 1860	ca. 1860	
s.a. [nach ####]	s.a. [nach JJJJ]	s.a. [nach 1715]	nach ####	nach JJJJ	nach 1715	nach 1715	
s.a. [vermutlich ####]	s.a. [vermutlich JJJJ]	s.a. [vermutlich 1850]	####	JJJJ	1850	1850	
s.a. [zwischen #### u. ####]	s.a. [zwischen JJJJ u. ZZZZ]	s.a. [zwischen 1730 u. 1760]	####/####	JJJJ/ZZZZ	1730/1760	1730/1760	
Sozialgeschichte ####-####	Sozialgeschichte JJJJ-ZZZZ	Sozialgeschichte 1800-1900	####/####	JJJJ/ZZZZ	1800/1900	1800/1900	
-SS ####	-SS JJJJ	-SS 2003	####	JJJJ	2003	2003	
um ###	um JJJ	um 800	um 0###	um 0JJJ	um 0800	um 0800	
um #### - ####	um JJJJ - ZZZZ	um 1554 - 1555	um ####/um ####	um JJJJ/um ZZZZ	um 1554/um 1555	um 1554/um 1555	
um ####-####	um JJJJ-ZZZZ	um 1568-1569	um ####/um ####	um JJJJ/um ZZZZ	um 1568/um 1569	um 1568/um 1569	
um ####/##	um JJJJ/ZZ	um 1648/50	um ####/um ####	um JJJJ/um JJZZ	um 1648/um 1650	um 1648/um 1650	
um ####/####	um JJJJ/ZZZZ	um 1645/1646	um ####/um ####	um JJJJ/um ZZZZ	um 1645/um 1646	um 1645/um 1646	
#.#### - ###.####[?]	Q.JJJJ - NNN.ZZZZ[?]	1.1972 - 390.1930[?]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1972/ca. 1930	ca. 1972/ca. 1930	
#.#### - ####/##.####[?]	W.JJJJ - NNNN/QQ.ZZZZ[?]	1.1886 - 2569/73.1926[?]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1886/ca. 1926	ca. 1886/ca. 1926	
#.#### - ##.[####][?]	N.JJJJ - QQ.[ZZZZ][?]	1.1911 - 84.[1923][?]	ca. ####/ca. ####	ca. JJJJ/ca. ZZZZ	ca. 1911/ca. 1923	ca. 1911/ca. 1923	
####-####	JJJJ-ZZZZ	1973-2009	####/####	JJJJ/ZZZZ	1973/2009	1973/2009	
#.#### - ##.#### = Nr. #-###	P.JJJJ - NN.ZZZZ = Nr. Q-WWW	1.1912 - 46.1936 = Nr. 1-411	####/####	JJJJ/ZZZZ	1912/1936	1912/1936	
Nachgewiesen #### - ####	Nachgewiesen JJJJ - ZZZZ	Nachgewiesen 1999 - 2007	####/####	JJJJ/ZZZZ	1999/2007	1999/2007	
